epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5793.74,1.33595,0.71913,1.05139,0.67677,0.66181,0.68296,0.38555,1.70426,0.94432,1.23455,9.90437e-05,9.90437e-05,9.90437e-05
91,5859.13,1.34156,0.71194,1.06631,0.69637,0.63726,0.67379,0.37877,1.70482,0.94014,1.23354,9.0797e-05,9.0797e-05,9.0797e-05
92,5923.93,1.31867,0.67825,1.05651,0.69253,0.62941,0.67101,0.37965,1.70864,0.93614,1.23883,8.25503e-05,8.25503e-05,8.25503e-05
93,5988.97,1.30118,0.65983,1.05379,0.71507,0.64565,0.67975,0.38845,1.68894,0.92622,1.22853,7.43036e-05,7.43036e-05,7.43036e-05
94,6053.22,1.30399,0.65469,1.05067,0.69033,0.65068,0.67066,0.38281,1.69763,0.94901,1.23103,6.60569e-05,6.60569e-05,6.60569e-05
95,6117.18,1.28745,0.65659,1.04658,0.69608,0.65777,0.67876,0.38571,1.6961,0.93962,1.23074,5.78102e-05,5.78102e-05,5.78102e-05
96,6181.34,1.28348,0.6463,1.0462,0.70469,0.64498,0.67581,0.38497,1.69912,0.93893,1.23672,4.95635e-05,4.95635e-05,4.95635e-05
97,6246.12,1.28482,0.64761,1.04704,0.7025,0.66126,0.68218,0.3886,1.69005,0.93364,1.23029,4.13168e-05,4.13168e-05,4.13168e-05
98,6310.24,1.27841,0.64174,1.04472,0.71072,0.65485,0.68282,0.38999,1.69806,0.93836,1.23484,3.30701e-05,3.30701e-05,3.30701e-05
99,6374.43,1.28102,0.64273,1.0469,0.74569,0.63558,0.68282,0.38749,1.70045,0.93489,1.23682,2.48234e-05,2.48234e-05,2.48234e-05
100,6438.61,1.27877,0.63582,1.04817,0.73021,0.64051,0.6792,0.38613,1.69887,0.94161,1.23599,1.65767e-05,1.65767e-05,1.65767e-05
